state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens_acc,period_tokens_acc,cases_check_ok,id,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens_cau,period_tokens_cau,total_causes_recorded
109,taraba,5,51,0,56,171,12,183,254,q2 2021,['taraba'],"['q2', '2021']",True,109.0,28,0,1,0,0,3,0,2,21,0,1,0,0,0,0,0,21,['taraba'],"['q2', '2021']",77
110,yobe,9,23,0,32,168,17,185,247,q2 2021,['yobe'],"['q2', '2021']",True,110.0,24,0,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0,['yobe'],"['q2', '2021']",47
111,zamfara,18,26,2,46,213,50,263,386,q2 2021,['zamfara'],"['q2', '2021']",True,111.0,35,1,5,0,0,2,0,5,0,0,4,1,0,0,0,0,3,['zamfara'],"['q2', '2021']",56
112,abia,7,10,3,20,62,11,73,140,q3 2021,['abia'],"['q3', '2021']",True,112.0,4,0,5,0,5,0,0,4,2,0,3,0,0,1,0,0,0,['abia'],"['q3', '2021']",24
113,adamawa,14,58,8,80,208,26,234,391,q3 2021,['adamawa'],"['q3', '2021']",True,113.0,66,0,2,1,0,0,0,15,1,0,4,6,0,0,0,0,0,['adamawa'],"['q3', '2021']",95
114,akwa ibom,1,8,4,13,18,1,19,75,q3 2021,"['akwa', 'ibom']","['q3', '2021']",True,114.0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"['akwa', 'ibom']","['q3', '2021']",14
115,anambra,12,39,11,62,142,17,159,411,q3 2021,['anambra'],"['q3', '2021']",True,115.0,20,0,4,1,32,0,0,5,1,0,9,56,0,3,0,0,3,['anambra'],"['q3', '2021']",134
116,bauchi,39,86,5,130,627,79,706,1010,q3 2021,['bauchi'],"['q3', '2021']",True,116.0,69,0,7,7,0,2,1,15,6,1,8,0,4,0,1,0,5,['bauchi'],"['q3', '2021']",126
117,bayelsa,3,9,7,19,23,8,31,72,q3 2021,['bayelsa'],"['q3', '2021']",True,117.0,16,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,['bayelsa'],"['q3', '2021']",22
118,benue,10,37,6,53,159,18,177,245,q3 2021,['benue'],"['q3', '2021']",True,118.0,37,0,0,0,1,0,0,2,7,0,0,0,0,1,0,0,0,['benue'],"['q3', '2021']",48
119,borno,2,14,1,17,110,3,113,188,q3 2021,['borno'],"['q3', '2021']",True,119.0,9,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,['borno'],"['q3', '2021']",16
120,cross river,8,26,3,37,144,15,159,229,q3 2021,"['cross', 'river']","['q3', '2021']",True,120.0,24,0,5,1,1,0,0,7,0,0,0,0,0,0,0,1,0,"['cross', 'river']","['q3', '2021']",39
