state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens,period_tokens,cases_check_ok
213,ogun,63,158,47,268,656,126,782,1915,q1 2022,['ogun'],"['q1', '2022']",True
214,ondo,33,82,12,127,355,54,409,1038,q1 2022,['ondo'],"['q1', '2022']",True
215,osun,23,67,12,102,376,29,405,883,q1 2022,['osun'],"['q1', '2022']",True
216,oyo,46,113,14,173,540,73,613,1337,q1 2022,['oyo'],"['q1', '2022']",True
217,plateau,22,51,0,73,270,36,306,508,q1 2022,['plateau'],"['q1', '2022']",True
218,rivers,5,19,5,29,58,7,65,157,q1 2022,['rivers'],"['q1', '2022']",True
219,sokoto,8,17,2,27,103,13,116,231,q1 2022,['sokoto'],"['q1', '2022']",True
220,taraba,14,56,1,71,248,32,280,420,q1 2022,['taraba'],"['q1', '2022']",True
221,yobe,17,9,0,26,133,63,196,272,q1 2022,['yobe'],"['q1', '2022']",True
222,zamfara,5,21,1,27,130,10,140,185,q1 2022,['zamfara'],"['q1', '2022']",True
